,Company,Skills,More info
0,Surya Informatics Solutions Pvt. Ltd.,"['python', 'webtechnologies', 'linux', 'mobile', 'mysql', 'angularjs', 'javascript']",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
1,APPLYCUP HIRING SOLUTIONS LLP,"['python', 'django', 'html5', 'javascript']",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-2-to-15-yrs-jobid-FHYQtX1BOyxzpSvf__PLUS__uAgZw==&source=srp
